[2025-10-20 15:58:30,114: INFO: main: welcome to our custom log]
[2025-10-25 16:53:54,353: INFO: main: welcome to our custom log]
[2025-10-26 17:16:05,771: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 17:16:05,776: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 17:16:05,781: INFO: common: created directory at: artifacts]
[2025-10-26 17:20:50,457: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 17:20:50,460: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 17:20:50,462: INFO: common: created directory at: artifacts]
[2025-10-26 17:20:50,465: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-26 17:20:50,468: INFO: 1405764235: Downloading data from https://drive.google.com/file/d/1L6FmFIJxwTQhXLQywzsClF6Ics98EFr_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-26 17:24:16,402: INFO: 1405764235: Downloaded data from https://drive.google.com/file/d/1L6FmFIJxwTQhXLQywzsClF6Ics98EFr_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-26 18:27:29,678: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<<]
[2025-10-26 18:27:29,679: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 18:27:29,679: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 18:27:29,680: INFO: common: created directory at: artifacts]
[2025-10-26 18:27:29,681: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-26 18:27:29,681: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1L6FmFIJxwTQhXLQywzsClF6Ics98EFr_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-26 18:30:42,628: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1L6FmFIJxwTQhXLQywzsClF6Ics98EFr_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-26 18:30:50,027: INFO: main: >>>>>>> stage Data Ingestion Stage completed <<<<<<<< 

x===================x]
